ID,Name,Country,Latitude,Longitude,cyan,magenta,yellow,black,earthResonance,activeLayer,layerFrequency,layerDepth,tectonicZone,tectonicAmplification,isDeepSubduction,pWaveVelocity,red,green,blue,spaceResonance,angleOfIncidence,ionosphericHeight,solarDeclination,solarElevation,hourAngle,lagTimeHours,solarFluxFactor,solarCyclePhase,compositeResonance,earthSpaceCoupling,timestamp,nearbyEarthquakes
19,Chaul Fort,India,18.5333,72.9167,0.6953,0.4912,0.865,0.4073,0.4633,upper_crust,20.8,10,,1.0,False,6.3857,0.2672,0.0864,0.3259,0.108,90.0,85.0,-10.511,-80.1928,174.1667,20.8237,0.1845,0.5665,0.2857,0.05,2026-02-23T18:45:45.940444,0
20,Castle of Good Hope,South Africa,-33.9258,18.4275,0.6953,0.4912,0.8595,0.4073,0.4624,upper_crust,20.8,10,,1.0,False,6.3857,0.3716,0.3374,0.3304,0.1619,90.0,84.7345,-10.511,-17.5851,119.6775,21.5078,0.1845,0.5665,0.3121,0.0749,2026-02-23T18:45:45.940444,0
21,Fort Jesus,Kenya,-4.0625,39.6797,0.6953,0.5962,0.9326,0.514,0.4965,upper_crust,20.8,10,EAST_AFRICAN_RIFT,1.4,False,6.3857,0.3201,0.0177,0.3526,0.1252,90.0,85.0,-10.511,-48.4609,140.9297,20.1806,0.1845,0.5665,0.3109,0.0622,2026-02-23T18:45:45.940444,0
22,Elmina Castle,Ghana,5.0825,-1.3481,0.6953,0.4912,0.9262,0.4073,0.473,upper_crust,20.8,10,,1.0,False,6.3857,0.3832,0.001,0.3497,0.1463,90.0,84.9784,-10.511,-10.6362,99.9019,20.2259,0.1845,0.5665,0.3096,0.0692,2026-02-23T18:45:45.940444,0
23,Fort São Sebastião,Mozambique,-15.0333,40.7333,0.7221,0.5962,0.909,0.514,0.5013,upper_crust,20.8,10,EAST_AFRICAN_RIFT,1.4,False,6.3857,0.3268,0.1023,0.3444,0.1291,90.0,85.0,-10.511,-44.4899,141.9833,20.6681,0.1845,0.5665,0.3152,0.0647,2026-02-23T18:45:45.940444,2
24,Fort São Caetano,Angola,-8.8,13.2333,0.6953,0.4912,0.961,0.4073,0.4788,upper_crust,20.8,10,,1.0,False,6.3857,0.3642,0.0492,0.366,0.1411,90.0,85.0,-10.511,-22.01,114.4833,20.3911,0.1845,0.5665,0.31,0.0676,2026-02-23T18:45:45.940444,0
25,Fort Patience,Ghana,5.2833,-0.7333,0.6953,0.4912,0.928,0.4073,0.4733,upper_crust,20.8,10,,1.0,False,6.3857,0.3821,0.0013,0.3506,0.146,90.0,84.983,-10.511,-11.2736,100.5167,20.2348,0.1845,0.5665,0.3096,0.0691,2026-02-23T18:45:45.940444,0
26,Fort Good Hope,Ghana,5.3833,-0.4833,0.6953,0.4912,0.9287,0.4073,0.4734,upper_crust,20.8,10,,1.0,False,6.3857,0.3817,0.0014,0.3509,0.1458,90.0,84.9848,-10.511,-11.5358,100.7667,20.2393,0.1845,0.5665,0.3096,0.069,2026-02-23T18:45:45.940444,0
27,Fort São Miguel,Angola,-8.8083,13.2233,0.6953,0.4912,0.9609,0.4073,0.4788,upper_crust,20.8,10,,1.0,False,6.3857,0.3642,0.0492,0.366,0.1411,90.0,85.0,-10.511,-21.9983,114.4733,20.3915,0.1845,0.5665,0.31,0.0676,2026-02-23T18:45:45.940444,0
28,Fort Metal Cross,Ghana,4.8,-1.95,0.6953,0.4912,0.9245,0.4073,0.4727,upper_crust,20.8,10,,1.0,False,6.3857,0.3842,0.0007,0.3489,0.1466,90.0,84.9742,-10.511,-9.9972,99.3,20.2133,0.1845,0.5665,0.3096,0.0693,2026-02-23T18:45:45.940444,0
29,Fort Monroe,USA,37.0036,-76.3075,0.6953,0.6233,0.8337,0.4073,0.4845,upper_crust,20.8,10,,1.0,False,6.3857,0.4626,0.3327,0.3156,0.2355,55.1425,83.8787,-10.511,37.0254,24.9425,16.9969,0.1845,0.5665,0.36,0.1141,2026-02-23T18:45:45.940444,0
