ID,Name,Country,Latitude,Longitude,cyan,magenta,yellow,black,earthResonance,activeLayer,layerFrequency,layerDepth,tectonicZone,tectonicAmplification,isDeepSubduction,pWaveVelocity,red,green,blue,spaceResonance,angleOfIncidence,ionosphericHeight,solarDeclination,solarElevation,hourAngle,lagTimeHours,solarFluxFactor,solarCyclePhase,compositeResonance,earthSpaceCoupling,timestamp,nearbyEarthquakes
79,Forte de Nossa Senhora dos Remédios,Brazil,-3.8333,-32.4167,0.6953,0.6226,0.9068,0.4723,0.4968,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857,0.4367,0.0128,0.3393,0.1899,68.7461,84.7153,-10.511,21.4953,68.8333,17.3365,0.1845,0.5665,0.3434,0.0943,2026-02-23T18:45:45.940444,0
80,Forte de Santo Inácio de Tamandaré,Brazil,-8.75,-35.1,0.6953,0.6215,0.9101,0.4723,0.497,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857,0.4424,0.0393,0.3412,0.1961,65.6415,84.6694,-10.511,24.8777,66.15,17.1411,0.1845,0.5665,0.3466,0.0975,2026-02-23T18:45:45.940444,0
81,Forte do Barbalho,Brazil,-12.9667,-38.5167,0.6953,0.6218,0.9121,0.4723,0.4974,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857,0.4487,0.0714,0.3427,0.2035,62.0813,84.6064,-10.511,28.6784,62.7333,16.8538,0.1845,0.5665,0.3504,0.1012,2026-02-23T18:45:45.940444,0
82,Forte de São Lourenço,Brazil,-12.8833,-38.6833,0.6953,0.6221,0.9128,0.4723,0.4976,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857,0.449,0.0706,0.343,0.2037,61.9223,84.6059,-10.511,28.8328,62.5667,16.8289,0.1845,0.5665,0.3507,0.1014,2026-02-23T18:45:45.940444,0
83,Fortaleza de Santa Cruz da Barra,Brazil,-22.8833,-43.1167,0.6953,0.5194,0.8923,0.4073,0.4726,upper_crust,20.8,10,,1.0,False,6.3857,0.4564,0.1744,0.3367,0.2158,58.0176,84.4358,-10.511,33.3101,58.1333,16.7527,0.1845,0.5665,0.3442,0.102,2026-02-23T18:45:45.940444,0
84,Fortaleza de Santo Antônio de Ratones,Brazil,-27.5833,-48.5667,0.6953,0.5207,0.882,0.4073,0.4712,upper_crust,20.8,10,,1.0,False,6.3857,0.4639,0.2289,0.3338,0.2276,53.8119,84.3046,-10.511,37.79,52.6833,16.4008,0.1845,0.5665,0.3494,0.1072,2026-02-23T18:45:45.940444,0
85,Fortaleza de São José da Ponta Grossa,Brazil,-27.5833,-48.5167,0.6953,0.5206,0.8819,0.4073,0.4712,upper_crust,20.8,10,,1.0,False,6.3857,0.4638,0.2289,0.3337,0.2275,53.8557,84.305,-10.511,37.7462,52.7333,16.4067,0.1845,0.5665,0.3493,0.1072,2026-02-23T18:45:45.940444,0
86,Bihu Loukon,India,24.8167,93.95,0.7232,0.6262,0.9117,0.5673,0.5097,upper_crust,20.8,10,RING_OF_FIRE,1.8,False,6.3857,0.2848,0.1672,0.35,0.1198,90.0,85.0,-10.511,-69.6805,195.2,21.103,0.1845,0.5665,0.3148,0.0611,2026-02-23T18:45:45.940444,7
87,Fort St. George,India,13.0833,80.2833,0.6953,0.4912,0.8962,0.4073,0.4682,upper_crust,20.8,10,,1.0,False,6.3857,0.2559,0.0436,0.3381,0.1036,90.0,85.0,-10.511,-87.0219,181.5333,20.5815,0.1845,0.5665,0.2859,0.0485,2026-02-23T18:45:45.940444,0
88,Fort William,India,22.5667,88.35,0.6953,0.4912,0.9039,0.4073,0.4694,upper_crust,20.8,10,,1.0,False,6.3857,0.2762,0.1374,0.3453,0.1147,90.0,85.0,-10.511,-74.8468,189.6,21.003,0.1845,0.5665,0.292,0.0538,2026-02-23T18:45:45.940444,0
89,St. Angelo Fort,India,11.8667,75.3667,0.6953,0.4912,0.881,0.4073,0.4658,upper_crust,20.8,10,,1.0,False,6.3857,0.2569,0.0335,0.3309,0.1033,90.0,85.0,-10.511,-86.4149,176.6167,20.5274,0.1845,0.5665,0.2845,0.0481,2026-02-23T18:45:45.940444,0
90,Fortaleza de São João Baptista,Portugal,38.6667,-27.2167,0.7296,0.6471,0.798,0.3562,0.4947,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857,0.4102,0.3199,0.3026,0.1752,86.6486,84.2167,-10.511,5.5779,74.0333,21.2717,0.1845,0.5665,0.3349,0.0867,2026-02-23T18:45:45.940444,1
91,Forte de Santo António da Barra,Portugal,38.7,-9.4167,0.7061,0.634,0.8047,0.5556,0.4902,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3876,0.3126,0.3066,0.1633,90.0,84.369,-10.511,-7.9673,91.8333,21.72,0.1845,0.5665,0.3267,0.08,2026-02-23T18:45:45.940444,1
92,Forte de Santa Luzia,Portugal,38.8833,-7.1667,0.7082,0.6305,0.8081,0.5556,0.4906,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3847,0.3143,0.3084,0.1626,90.0,84.3836,-10.511,-9.7304,94.0833,21.7281,0.1845,0.5665,0.3266,0.0798,2026-02-23T18:45:45.940444,2
93,Forte de São Bruno,Portugal,38.6667,-9.3167,0.7061,0.6338,0.805,0.5556,0.4902,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3875,0.3122,0.3067,0.1632,90.0,84.3708,-10.511,-8.0406,91.9333,21.7185,0.1845,0.5665,0.3267,0.08,2026-02-23T18:45:45.940444,1
94,Fort São Roque,Portugal,32.65,-16.9167,0.6953,0.6276,0.8118,0.4723,0.4839,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857,0.3993,0.2371,0.3061,0.16,90.0,84.4579,-10.511,-0.9555,84.3333,21.4511,0.1845,0.5665,0.322,0.0774,2026-02-23T18:45:45.940444,0
95,Fort Victoria,Indonesia,-3.7,128.1833,0.7187,0.6262,1.0,0.5591,0.5217,upper_crust,20.8,10,RING_OF_FIRE,1.8,True,6.3857,0.3363,0.0019,0.3486,0.1303,90.0,85.0,-10.511,-38.7788,229.4333,20.1644,0.1845,0.5665,0.326,0.068,2026-02-23T18:45:45.940444,17
96,Fort Nassau,Indonesia,-4.5167,129.8833,0.7197,0.6262,1.0,0.5591,0.522,upper_crust,20.8,10,RING_OF_FIRE,1.8,True,6.3857,0.3394,0.0032,0.3459,0.1312,90.0,85.0,-10.511,-36.92,231.1333,20.2007,0.1845,0.5665,0.3266,0.0685,2026-02-23T18:45:45.940444,25
97,Fort Oranje,Indonesia,-0.7833,127.3833,0.7192,0.6262,1.0,0.5652,0.522,upper_crust,20.8,10,RING_OF_FIRE,1.8,True,6.3857,0.3337,0.0001,0.3521,0.1296,90.0,85.0,-10.511,-40.3332,228.6333,20.0348,0.1845,0.5665,0.3258,0.0677,2026-02-23T18:45:45.940444,9
98,Fort Marlborough,Indonesia,-3.7833,-102.25,0.7275,0.7439,0.8583,0.5707,0.5294,upper_crust,20.8,10,RING_OF_FIRE,1.8,False,6.3857,0.5396,0.0015,0.3148,0.2845,7.0889,84.216,-10.511,83.1996,-1.0,9.1133,0.1845,0.5665,0.4069,0.1506,2026-02-23T18:45:45.940444,1
99,Fort Vastenburg,Indonesia,-7.5667,110.8167,0.7361,0.6262,1.0,0.5597,0.527,upper_crust,20.8,10,RING_OF_FIRE,1.8,True,6.3857,0.312,0.0177,0.3563,0.1227,90.0,85.0,-10.511,-53.3152,212.0667,20.3363,0.1845,0.5665,0.3249,0.0647,2026-02-23T18:45:45.940444,2
100,Fort Cornwallis,Malaysia,5.4167,100.3333,0.6953,0.6262,0.9636,0.6806,0.5129,upper_crust,20.8,10,RING_OF_FIRE,1.8,False,6.3857,0.2875,0.0087,0.3666,0.1151,90.0,85.0,-10.511,-68.0359,201.5833,20.2407,0.1845,0.5665,0.314,0.059,2026-02-23T18:45:45.940444,0
101,Gory?kaku,Japan,41.8,140.75,0.7175,0.6262,0.9633,0.5577,0.5155,upper_crust,20.8,10,RING_OF_FIRE,1.8,True,6.3857,0.3546,0.4181,0.3167,0.1666,90.0,85.0,-10.511,-27.7554,242.0,21.8578,0.1845,0.5665,0.341,0.0859,2026-02-23T18:45:45.940444,18
102,Hekirichi Bastion Fort,Japan,41.8167,140.65,0.7175,0.6262,0.9635,0.5577,0.5155,upper_crust,20.8,10,RING_OF_FIRE,1.8,True,6.3857,0.3545,0.4183,0.3168,0.1666,90.0,85.0,-10.511,-27.8253,241.9,21.8585,0.1845,0.5665,0.341,0.0859,2026-02-23T18:45:45.940444,18
103,Tatsuoka Castle,Japan,36.2,138.4833,0.7181,0.6262,0.8406,0.5693,0.4978,upper_crust,20.8,10,RING_OF_FIRE,1.8,False,6.3857,0.3501,0.3452,0.3249,0.1562,90.0,85.0,-10.511,-30.5071,239.7333,21.6089,0.1845,0.5665,0.327,0.0778,2026-02-23T18:45:45.940444,15
104,Temple Mount,Israel,31.7778,35.2356,0.6953,0.6037,0.8586,0.5556,0.4881,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3266,0.2216,0.3297,0.1363,90.0,84.9279,-10.511,-44.6051,136.4856,21.4123,0.1845,0.5665,0.3122,0.0665,2026-02-23T18:45:45.940444,0
105,Forte de Barém,Bahrain,26.2333,50.5333,0.7178,0.4912,0.8497,0.2974,0.4662,upper_crust,20.8,10,,1.0,False,6.3857,0.3025,0.1588,0.3226,0.1233,90.0,85.0,-10.511,-59.0683,151.7833,21.1659,0.1845,0.5665,0.2948,0.0575,2026-02-23T18:45:45.940444,10
106,Fort Nossa Senhora da Vitória,Angola,-10.7333,13.75,0.6953,0.4912,0.9556,0.4073,0.4779,upper_crust,20.8,10,,1.0,False,6.3857,0.3643,0.0649,0.364,0.1413,90.0,85.0,-10.511,-21.98,115.0,20.477,0.1845,0.5665,0.3096,0.0675,2026-02-23T18:45:45.940444,0
107,Fortress of Muxima,Angola,-9.5,13.9167,0.6953,0.4912,0.96,0.4073,0.4786,upper_crust,20.8,10,,1.0,False,6.3857,0.3634,0.0547,0.3657,0.1409,90.0,85.0,-10.511,-22.4747,115.1667,20.4222,0.1845,0.5665,0.3098,0.0674,2026-02-23T18:45:45.940444,0
108,Fortress of Kambambe,Angola,-9.75,14.4833,0.6953,0.4912,0.9602,0.4073,0.4786,upper_crust,20.8,10,,1.0,False,6.3857,0.3627,0.0567,0.3658,0.1407,90.0,85.0,-10.511,-22.9444,115.7333,20.4333,0.1845,0.5665,0.3096,0.0673,2026-02-23T18:45:45.940444,0
109,Fort São Filipe,Angola,-12.5833,13.4,0.6953,0.4912,0.9485,0.4073,0.4767,upper_crust,20.8,10,,1.0,False,6.3857,0.3657,0.0815,0.3614,0.1421,90.0,85.0,-10.511,-21.1299,114.65,20.5593,0.1845,0.5665,0.3094,0.0677,2026-02-23T18:45:45.940444,0
110,Fort São Francisco do Penedo,Angola,-15.2,12.15,0.6953,0.4912,0.937,0.4073,0.4748,upper_crust,20.8,10,,1.0,False,6.3857,0.3689,0.1073,0.3571,0.1439,90.0,85.0,-10.511,-19.2077,113.4,20.6756,0.1845,0.5665,0.3094,0.0683,2026-02-23T18:45:45.940444,0
111,Quicombo Fort,Angola,-12.3667,13.7833,0.6953,0.4912,0.9499,0.4073,0.4769,upper_crust,20.8,10,,1.0,False,6.3857,0.365,0.0795,0.3619,0.1419,90.0,85.0,-10.511,-21.5505,115.0333,20.5496,0.1845,0.5665,0.3094,0.0677,2026-02-23T18:45:45.940444,0
112,Fort São José,Angola,-6.2667,14.25,0.6953,0.4912,0.9706,0.4073,0.4804,upper_crust,20.8,10,,1.0,False,6.3857,0.3615,0.0316,0.3698,0.14,90.0,85.0,-10.511,-23.631,115.5,20.2785,0.1845,0.5665,0.3102,0.0673,2026-02-23T18:45:45.940444,0
113,Fort James,Antigua and Barbuda,17.1167,-61.8333,0.7097,0.5853,0.9351,0.4073,0.4965,upper_crust,20.8,10,,1.0,False,6.3857,0.4713,0.084,0.3528,0.2282,48.7724,84.3755,-10.511,42.241,39.4167,15.2637,0.1845,0.5665,0.3624,0.1133,2026-02-23T18:45:45.940444,3
114,Cacheu Fort,Guinea-Bissau,12.2667,-16.1667,0.6953,0.6129,0.8691,0.4723,0.4891,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857,0.4051,0.0287,0.3245,0.155,88.2031,84.8023,-10.511,2.4981,85.0833,20.3056,0.1845,0.5665,0.3221,0.0758,2026-02-23T18:45:45.940444,0
115,São José,Guinea-Bissau,11.8667,-15.5833,0.6953,0.6118,0.8716,0.4723,0.4892,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857,0.4043,0.0262,0.3256,0.1542,88.6615,84.811,-10.511,2.0166,85.6667,20.3489,0.1845,0.5665,0.3217,0.0754,2026-02-23T18:45:45.940444,0
116,Borj Nord,Morocco,34.0667,-4.9833,0.7082,0.6246,0.8325,0.5556,0.4927,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3825,0.2512,0.3169,0.1561,90.0,84.5275,-10.511,-11.0166,96.2667,21.5141,0.1845,0.5665,0.3244,0.0769,2026-02-23T18:45:45.940444,2
117,El Jadida,Morocco,33.2333,-8.5,0.7061,0.6297,0.8288,0.5556,0.4926,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3875,0.2415,0.3146,0.1568,90.0,84.517,-10.511,-8.0152,92.75,21.477,0.1845,0.5665,0.3247,0.0772,2026-02-23T18:45:45.940444,1
118,Nossa Senhora da Conceição,Mozambique,-23.8667,35.3833,0.6953,0.5962,0.8914,0.514,0.4901,upper_crust,20.8,10,EAST_AFRICAN_RIFT,1.4,False,6.3857,0.3418,0.2052,0.3403,0.1402,90.0,85.0,-10.511,-35.4396,136.6333,21.0607,0.1845,0.5665,0.3151,0.0687,2026-02-23T18:45:45.940444,0
119,Nossa Senhora da Conceição de Lourenço Marques,Mozambique,-25.9667,32.5833,0.6953,0.5962,0.8873,0.514,0.4895,upper_crust,20.8,10,EAST_AFRICAN_RIFT,1.4,False,6.3857,0.3473,0.2323,0.3396,0.1442,90.0,85.0,-10.511,-32.1627,133.8333,21.1541,0.1845,0.5665,0.3168,0.0706,2026-02-23T18:45:45.940444,0
120,Santo António,Mozambique,-12.3333,40.5833,0.6953,0.5962,0.9162,0.514,0.4939,upper_crust,20.8,10,EAST_AFRICAN_RIFT,1.4,False,6.3857,0.3247,0.0762,0.3468,0.1276,90.0,85.0,-10.511,-45.7431,141.8333,20.5481,0.1845,0.5665,0.3107,0.063,2026-02-23T18:45:45.940444,0
121,São Caetano,Mozambique,-20.15,34.7333,0.6953,0.5962,0.9067,0.514,0.4925,upper_crust,20.8,10,EAST_AFRICAN_RIFT,1.4,False,6.3857,0.3393,0.1603,0.3454,0.1364,90.0,85.0,-10.511,-36.9381,135.9833,20.8956,0.1845,0.5665,0.3145,0.0672,2026-02-23T18:45:45.940444,0
122,São Marçal,Mozambique,-25.9667,32.4667,0.6953,0.5962,0.8875,0.514,0.4896,upper_crust,20.8,10,EAST_AFRICAN_RIFT,1.4,False,6.3857,0.3474,0.2324,0.3397,0.1442,90.0,85.0,-10.511,-32.0748,133.7167,21.1541,0.1845,0.5665,0.3169,0.0706,2026-02-23T18:45:45.940444,0
123,São Tiago Maior,Mozambique,-23.8667,35.35,0.6953,0.5962,0.8914,0.514,0.4901,upper_crust,20.8,10,EAST_AFRICAN_RIFT,1.4,False,6.3857,0.3419,0.2052,0.3403,0.1402,90.0,85.0,-10.511,-35.4143,136.6,21.0607,0.1845,0.5665,0.3151,0.0687,2026-02-23T18:45:45.940444,0
124,São João Baptista de Ajudá,Benin,6.3667,-2.0833,0.6953,0.4912,0.9224,0.4073,0.4724,upper_crust,20.8,10,,1.0,False,6.3857,0.384,0.0031,0.3481,0.1465,90.0,84.9664,-10.511,-10.1309,99.1667,20.283,0.1845,0.5665,0.3095,0.0692,2026-02-23T18:45:45.940444,0
125,Fort Anne,Canada,44.7417,-65.5183,0.6953,0.6129,0.8052,0.4073,0.4782,upper_crust,20.8,10,,1.0,False,6.3857,0.4442,0.423,0.3079,0.2258,66.6041,83.7346,-10.511,26.0081,35.7317,18.8691,0.1845,0.5665,0.352,0.108,2026-02-23T18:45:45.940444,0
126,Fort Beauséjour,Canada,45.8667,-64.2833,0.6953,0.6117,0.7999,0.4073,0.4772,upper_crust,20.8,10,,1.0,False,6.3857,0.4419,0.436,0.3063,0.2248,68.0892,83.7088,-10.511,24.5881,36.9667,19.1171,0.1845,0.5665,0.351,0.1073,2026-02-23T18:45:45.940444,0
127,Fort George,Canada,43.25,-79.0667,0.6953,0.6323,0.801,0.4073,0.4818,upper_crust,20.8,10,,1.0,False,6.3857,0.4552,0.4147,0.3044,0.2371,59.9768,83.6844,-10.511,32.5575,22.1833,17.9191,0.1845,0.5665,0.3594,0.1142,2026-02-23T18:45:45.940444,0
128,Fort Mississauga,Canada,43.2667,-79.0833,0.6953,0.6323,0.8009,0.4073,0.4818,upper_crust,20.8,10,,1.0,False,6.3857,0.4551,0.4149,0.3044,0.2371,59.9875,83.6838,-10.511,32.5479,22.1667,17.9213,0.1845,0.5665,0.3594,0.1142,2026-02-23T18:45:45.940444,0
129,Fort Plaisance,Canada,47.25,-53.9667,0.6953,0.5964,0.7923,0.4073,0.4729,upper_crust,20.8,10,,1.0,False,6.3857,0.4319,0.4456,0.3042,0.2144,74.1606,83.7433,-10.511,18.5901,47.2833,19.9881,0.1845,0.5665,0.3437,0.1014,2026-02-23T18:45:45.940444,0
130,Fort William,Canada,47.5667,-52.7,0.6953,0.5946,0.7902,0.4073,0.4722,upper_crust,20.8,10,,1.0,False,6.3857,0.4304,0.4486,0.3035,0.2132,75.0394,83.743,-10.511,17.7289,48.55,20.1193,0.1845,0.5665,0.3427,0.1007,2026-02-23T18:45:45.940444,0
131,Castillo San Salvador de la Punta,Cuba,23.1333,-82.35,0.6953,0.6189,0.8798,0.4073,0.4903,upper_crust,20.8,10,,1.0,False,6.3857,0.4869,0.1619,0.3293,0.2465,39.7663,84.1406,-10.511,51.6048,18.9,14.3303,0.1845,0.5665,0.3684,0.1209,2026-02-23T18:45:45.940444,0
132,Castillo de los Tres Reyes Magos del Morro,Cuba,23.15,-82.35,0.6953,0.6189,0.8798,0.4073,0.4903,upper_crust,20.8,10,,1.0,False,6.3857,0.4869,0.1621,0.3293,0.2465,39.7816,84.1403,-10.511,51.5905,18.9,14.3331,0.1845,0.5665,0.3684,0.1209,2026-02-23T18:45:45.940444,0
133,Castillo del Príncipe,Cuba,23.1167,-82.4167,0.6953,0.619,0.8797,0.4073,0.4903,upper_crust,20.8,10,,1.0,False,6.3857,0.487,0.1617,0.3293,0.2465,39.7197,84.1405,-10.511,51.6505,18.8333,14.3234,0.1845,0.5665,0.3684,0.1209,2026-02-23T18:45:45.940444,0
134,Castillo de San Severino,Cuba,23.05,-81.5667,0.6953,0.6178,0.8819,0.4073,0.4904,upper_crust,20.8,10,,1.0,False,6.3857,0.4864,0.1603,0.3302,0.2459,40.0655,84.1472,-10.511,51.3003,19.6833,14.3665,0.1845,0.5665,0.3681,0.1206,2026-02-23T18:45:45.940444,0
135,Fort San Cristóbal,Puerto Rico,18.4667,-66.1167,0.7158,0.5925,0.9265,0.285,0.4961,upper_crust,20.8,10,,1.0,False,6.3857,0.4756,0.0997,0.3492,0.233,46.2715,84.3258,-10.511,44.8218,35.1333,14.9903,0.1845,0.5665,0.3645,0.1156,2026-02-23T18:45:45.940444,5
136,Fort Conde de Mirasol,Puerto Rico,18.15,-65.4333,0.7158,0.5912,0.9284,0.285,0.4962,upper_crust,20.8,10,,1.0,False,6.3857,0.4751,0.0961,0.35,0.2323,46.5843,84.3351,-10.511,44.4905,35.8167,15.0179,0.1845,0.5665,0.3642,0.1153,2026-02-23T18:45:45.940444,5
137,Fortín San Juan de la Cruz,Puerto Rico,18.4667,-66.1667,0.7158,0.5925,0.9264,0.285,0.4961,upper_crust,20.8,10,,1.0,False,6.3857,0.4757,0.0997,0.3492,0.2331,46.2337,84.3254,-10.511,44.8597,35.0833,14.9852,0.1845,0.5665,0.3646,0.1156,2026-02-23T18:45:45.940444,5
138,Fort Barrancas,USA,30.35,-87.3,0.6953,0.6327,0.8425,0.4073,0.4878,upper_crust,20.8,10,,1.0,False,6.3857,0.4792,0.2551,0.3156,0.2452,44.796,83.9671,-10.511,46.9934,13.95,15.3217,0.1845,0.5665,0.3665,0.1196,2026-02-23T18:45:45.940444,0
139,Fort Caroline,USA,30.3833,-81.5,0.6953,0.6249,0.8542,0.4073,0.4878,upper_crust,20.8,10,,1.0,False,6.3857,0.4758,0.251,0.3211,0.2415,46.8751,84.0039,-10.511,44.9124,19.75,15.6004,0.1845,0.5665,0.3647,0.1178,2026-02-23T18:45:45.940444,0
140,Fort Delgrès,Guadeloupe (France),15.9833,-61.7167,0.7097,0.5841,0.9398,0.4073,0.497,upper_crust,20.8,10,,1.0,False,6.3857,0.4721,0.0735,0.3546,0.2289,48.2016,84.3904,-10.511,42.7473,39.5333,15.1372,0.1845,0.5665,0.3629,0.1138,2026-02-23T18:45:45.940444,3
141,Fort Desaix,Martinique (France),14.6,-61.0667,0.6953,0.5819,0.9457,0.4073,0.493,upper_crust,20.8,10,,1.0,False,6.3857,0.4724,0.0611,0.3568,0.2291,47.954,84.4112,-10.511,42.916,40.1833,15.0428,0.1845,0.5665,0.361,0.1129,2026-02-23T18:45:45.940444,0
142,Fort Diamant,French Guiana,4.8833,-52.2667,0.6953,0.5605,0.9689,0.4073,0.4926,upper_crust,20.8,10,,1.0,False,6.3857,0.4657,0.0043,0.3659,0.2222,51.458,84.5505,-10.511,38.8582,48.9833,15.0781,0.1845,0.5665,0.3574,0.1095,2026-02-23T18:45:45.940444,0
143,Fort Erie,Canada,42.9167,-79.0167,0.6953,0.632,0.8027,0.4073,0.482,upper_crust,20.8,10,,1.0,False,6.3857,0.4556,0.4105,0.3049,0.2371,59.6743,83.6947,-10.511,32.8404,22.2333,17.864,0.1845,0.5665,0.3595,0.1143,2026-02-23T18:45:45.940444,0
144,Fort Frederick,USA,39.6167,-78.0,0.6953,0.6279,0.8194,0.4073,0.4834,upper_crust,20.8,10,,1.0,False,6.3857,0.4599,0.3678,0.3106,0.2366,56.9009,83.7965,-10.511,35.4204,23.25,17.3475,0.1845,0.5665,0.36,0.1144,2026-02-23T18:45:45.940444,0
145,Fort Gaines,USA,30.25,-88.0833,0.6953,0.6337,0.8412,0.4073,0.4878,upper_crust,20.8,10,,1.0,False,6.3857,0.4798,0.2544,0.3149,0.2457,44.4674,83.9644,-10.511,47.3167,13.1667,15.2734,0.1845,0.5665,0.3668,0.1199,2026-02-23T18:45:45.940444,0
146,Fort Jackson,USA,29.35,-89.45,0.6953,0.6346,0.8414,0.4073,0.488,upper_crust,20.8,10,,1.0,False,6.3857,0.4818,0.2439,0.3145,0.2468,43.1867,83.9754,-10.511,48.5463,11.8,15.0627,0.1845,0.5665,0.3674,0.1204,2026-02-23T18:45:45.940444,0
147,Fort Macomb,USA,30.0667,-89.8,0.6953,0.6358,0.838,0.4073,0.4878,upper_crust,20.8,10,,1.0,False,6.3857,0.4808,0.2534,0.3133,0.2466,43.8221,83.9577,-10.511,47.9525,11.45,15.1792,0.1845,0.5665,0.3672,0.1203,2026-02-23T18:45:45.940444,0
148,Fort Macon,USA,34.7,-76.6833,0.6953,0.6219,0.8436,0.4073,0.4856,upper_crust,20.8,10,,1.0,False,6.3857,0.4661,0.3031,0.3187,0.2363,52.8863,83.935,-10.511,39.1479,24.5667,16.5937,0.1845,0.5665,0.3609,0.1147,2026-02-23T18:45:45.940444,0
149,Fort Mifflin,USA,39.8667,-75.2167,0.6953,0.624,0.8217,0.4073,0.4829,upper_crust,20.8,10,,1.0,False,6.3857,0.4578,0.3688,0.3119,0.2344,58.1982,83.8086,-10.511,34.1358,26.0333,17.5316,0.1845,0.5665,0.3587,0.1132,2026-02-23T18:45:45.940444,0
150,Fort Morgan,USA,30.2333,-88.0167,0.6953,0.6336,0.8414,0.4073,0.4878,upper_crust,20.8,10,,1.0,False,6.3857,0.4798,0.2542,0.315,0.2457,44.4697,83.9652,-10.511,47.3134,13.2333,15.273,0.1845,0.5665,0.3668,0.1199,2026-02-23T18:45:45.940444,0
151,Fort Pike,USA,30.1667,-89.7333,0.6953,0.6358,0.8378,0.4073,0.4878,upper_crust,20.8,10,,1.0,False,6.3857,0.4806,0.2546,0.3133,0.2465,43.9403,83.956,-10.511,47.84,11.5167,15.1994,0.1845,0.5665,0.3671,0.1202,2026-02-23T18:45:45.940444,0
152,Fort Pulaski,USA,32.0333,-80.9,0.6953,0.6256,0.8485,0.4073,0.4871,upper_crust,20.8,10,,1.0,False,6.3857,0.4729,0.2718,0.3193,0.2404,48.668,83.9706,-10.511,43.2145,20.35,15.9128,0.1845,0.5665,0.3638,0.1171,2026-02-23T18:45:45.940444,0
153,Fort San Carlos,USA,30.6667,-81.4667,0.6953,0.6251,0.8531,0.4073,0.4877,upper_crust,20.8,10,,1.0,False,6.3857,0.4753,0.2546,0.3207,0.2413,47.1553,83.9978,-10.511,44.6486,19.7833,15.6503,0.1845,0.5665,0.3645,0.1177,2026-02-23T18:45:45.940444,0
154,Fort Sumter,USA,32.75,-79.8667,0.6953,0.6248,0.8473,0.4073,0.4867,upper_crust,20.8,10,,1.0,False,6.3857,0.4712,0.2803,0.3192,0.2393,49.7547,83.9607,-10.511,42.1687,21.3833,16.0895,0.1845,0.5665,0.363,0.1165,2026-02-23T18:45:45.940444,0
155,Citadelle de Besançon,France,47.2361,6.0269,0.6953,0.6128,0.7872,0.5556,0.4798,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3686,0.4188,0.3049,0.1702,90.0,84.25,-10.511,-19.402,107.2769,22.0994,0.1845,0.5665,0.325,0.0817,2026-02-23T18:45:45.940444,0
156,La Citadelle dArras,France,50.2825,2.7589,0.6953,0.5067,0.769,0.4073,0.4518,upper_crust,20.8,10,,1.0,False,6.3857,0.3726,0.4568,0.2985,0.1764,90.0,84.1216,-10.511,-17.0023,104.0089,22.2348,0.1845,0.5665,0.3141,0.0797,2026-02-23T18:45:45.940444,0
157,La Citadelle de Blaye,France,45.1217,-0.6733,0.6953,0.6228,0.7901,0.5556,0.4824,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3761,0.3932,0.3045,0.1691,90.0,84.2581,-10.511,-14.8689,100.5767,22.0054,0.1845,0.5665,0.3257,0.0816,2026-02-23T18:45:45.940444,0
158,LEnceinte de Briançon,France,44.8958,6.6433,0.6953,0.6109,0.7993,0.5556,0.4811,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3675,0.3892,0.309,0.1662,90.0,84.3289,-10.511,-20.0449,107.8933,21.9954,0.1845,0.5665,0.3236,0.08,2026-02-23T18:45:45.940444,0
159,La Place forte de Longwy,France,49.5167,5.7667,0.6953,0.6141,0.7757,0.5556,0.4785,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3692,0.447,0.3012,0.1742,90.0,84.1734,-10.511,-18.9994,107.0167,22.2007,0.1845,0.5665,0.3263,0.0834,2026-02-23T18:45:45.940444,0
