ID,Name,Country,Latitude,Longitude,earthResonance,spaceResonance,compositeResonance,earthSpaceCoupling,tectonicZone,isDeepSubduction
59,Vardøhus Fortress,Norway,70.3667,31.0833,0.4356,0.229,0.3323,0.0998,,False
60,Daugavgr?va Fortress,Latvia,57.05,24.0333,0.4452,0.1832,0.3142,0.0816,,False
61,Daugavpils Fortress,Latvia,55.8833,26.5,0.4459,0.1805,0.3132,0.0805,,False
62,Riga Old Town,Latvia,56.95,24.1167,0.4453,0.183,0.3141,0.0815,,False
63,Pärnu Vallikäär,Estonia,58.3833,24.5,0.4442,0.1856,0.3149,0.0824,,False
64,Tartu Tähetorn,Estonia,58.3667,26.7167,0.4441,0.1851,0.3146,0.0822,,False
65,Paldiski Muula mäed,Estonia,59.35,24.0667,0.4435,0.1874,0.3155,0.0831,,False
66,Birai Castle,Lithuania,56.2,24.75,0.4458,0.1814,0.3136,0.0809,,False
67,Klaip?da Castle,Lithuania,55.7,21.1333,0.4462,0.1813,0.3137,0.0809,,False
68,Trakai Island Castle,Lithuania,54.65,24.9333,0.4469,0.1785,0.3127,0.0798,,False
69,Kaunas Castle and Fortress,Lithuania,54.9,23.9,0.4468,0.1792,0.313,0.0801,,False
70,Petersberg Citadel,Germany,50.9833,11.0333,0.4498,0.1752,0.3125,0.0788,,False
71,Mainz Citadel,Germany,50.0,8.2667,0.4776,0.1743,0.326,0.0832,MEDITERRANEAN_ALPINE,False
72,(City fortifications),Germany,53.55,10.0,0.4483,0.18,0.3141,0.0807,,False
73,Forbidden City,China,39.9167,116.3972,0.4973,0.1536,0.3255,0.0764,RING_OF_FIRE,False
74,Fort Orange,Brazil,-7.75,-34.8333,0.4973,0.1953,0.3463,0.0971,MID_ATLANTIC_RIDGE,False
75,Forte de São João Batista do Brum,Brazil,-8.05,-34.8833,0.4972,0.1955,0.3463,0.0972,MID_ATLANTIC_RIDGE,False
76,Forte do Presépio,Brazil,-1.45,-48.5,0.4892,0.2187,0.3539,0.107,,False
77,Forte Príncipe da Beira,Brazil,-12.4167,-64.4167,0.4892,0.2475,0.3684,0.1211,,False
78,Fortaleza de Nossa Senhora da Assunção,Brazil,-3.7167,-38.5,0.5016,0.2011,0.3514,0.1009,MID_ATLANTIC_RIDGE,False
79,Forte de Nossa Senhora dos Remédios,Brazil,-3.8333,-32.4167,0.4968,0.1899,0.3434,0.0943,MID_ATLANTIC_RIDGE,False
80,Forte de Santo Inácio de Tamandaré,Brazil,-8.75,-35.1,0.497,0.1961,0.3466,0.0975,MID_ATLANTIC_RIDGE,False
81,Forte do Barbalho,Brazil,-12.9667,-38.5167,0.4974,0.2035,0.3504,0.1012,MID_ATLANTIC_RIDGE,False
82,Forte de São Lourenço,Brazil,-12.8833,-38.6833,0.4976,0.2037,0.3507,0.1014,MID_ATLANTIC_RIDGE,False
83,Fortaleza de Santa Cruz da Barra,Brazil,-22.8833,-43.1167,0.4726,0.2158,0.3442,0.102,,False
84,Fortaleza de Santo Antônio de Ratones,Brazil,-27.5833,-48.5667,0.4712,0.2276,0.3494,0.1072,,False
85,Fortaleza de São José da Ponta Grossa,Brazil,-27.5833,-48.5167,0.4712,0.2275,0.3493,0.1072,,False
86,Bihu Loukon,India,24.8167,93.95,0.5097,0.1198,0.3148,0.0611,RING_OF_FIRE,False
87,Fort St. George,India,13.0833,80.2833,0.4682,0.1036,0.2859,0.0485,,False
88,Fort William,India,22.5667,88.35,0.4694,0.1147,0.292,0.0538,,False
89,St. Angelo Fort,India,11.8667,75.3667,0.4658,0.1033,0.2845,0.0481,,False
90,Fortaleza de São João Baptista,Portugal,38.6667,-27.2167,0.4947,0.1752,0.3349,0.0867,MID_ATLANTIC_RIDGE,False
91,Forte de Santo António da Barra,Portugal,38.7,-9.4167,0.4902,0.1633,0.3267,0.08,MEDITERRANEAN_ALPINE,False
92,Forte de Santa Luzia,Portugal,38.8833,-7.1667,0.4906,0.1626,0.3266,0.0798,MEDITERRANEAN_ALPINE,False
93,Forte de São Bruno,Portugal,38.6667,-9.3167,0.4902,0.1632,0.3267,0.08,MEDITERRANEAN_ALPINE,False
94,Fort São Roque,Portugal,32.65,-16.9167,0.4839,0.16,0.322,0.0774,MID_ATLANTIC_RIDGE,False
95,Fort Victoria,Indonesia,-3.7,128.1833,0.5217,0.1303,0.326,0.068,RING_OF_FIRE,True
96,Fort Nassau,Indonesia,-4.5167,129.8833,0.522,0.1312,0.3266,0.0685,RING_OF_FIRE,True
97,Fort Oranje,Indonesia,-0.7833,127.3833,0.522,0.1296,0.3258,0.0677,RING_OF_FIRE,True
98,Fort Marlborough,Indonesia,-3.7833,-102.25,0.5294,0.2845,0.4069,0.1506,RING_OF_FIRE,False
99,Fort Vastenburg,Indonesia,-7.5667,110.8167,0.527,0.1227,0.3249,0.0647,RING_OF_FIRE,True
100,Fort Cornwallis,Malaysia,5.4167,100.3333,0.5129,0.1151,0.314,0.059,RING_OF_FIRE,False
101,Gory?kaku,Japan,41.8,140.75,0.5155,0.1666,0.341,0.0859,RING_OF_FIRE,True
102,Hekirichi Bastion Fort,Japan,41.8167,140.65,0.5155,0.1666,0.341,0.0859,RING_OF_FIRE,True
103,Tatsuoka Castle,Japan,36.2,138.4833,0.4978,0.1562,0.327,0.0778,RING_OF_FIRE,False
104,Temple Mount,Israel,31.7778,35.2356,0.4881,0.1363,0.3122,0.0665,MEDITERRANEAN_ALPINE,False
105,Forte de Barém,Bahrain,26.2333,50.5333,0.4662,0.1233,0.2948,0.0575,,False
106,Fort Nossa Senhora da Vitória,Angola,-10.7333,13.75,0.4779,0.1413,0.3096,0.0675,,False
107,Fortress of Muxima,Angola,-9.5,13.9167,0.4786,0.1409,0.3098,0.0674,,False
108,Fortress of Kambambe,Angola,-9.75,14.4833,0.4786,0.1407,0.3096,0.0673,,False
109,Fort São Filipe,Angola,-12.5833,13.4,0.4767,0.1421,0.3094,0.0677,,False
110,Fort São Francisco do Penedo,Angola,-15.2,12.15,0.4748,0.1439,0.3094,0.0683,,False
111,Quicombo Fort,Angola,-12.3667,13.7833,0.4769,0.1419,0.3094,0.0677,,False
112,Fort São José,Angola,-6.2667,14.25,0.4804,0.14,0.3102,0.0673,,False
113,Fort James,Antigua and Barbuda,17.1167,-61.8333,0.4965,0.2282,0.3624,0.1133,,False
114,Cacheu Fort,Guinea-Bissau,12.2667,-16.1667,0.4891,0.155,0.3221,0.0758,MID_ATLANTIC_RIDGE,False
115,São José,Guinea-Bissau,11.8667,-15.5833,0.4892,0.1542,0.3217,0.0754,MID_ATLANTIC_RIDGE,False
116,Borj Nord,Morocco,34.0667,-4.9833,0.4927,0.1561,0.3244,0.0769,MEDITERRANEAN_ALPINE,False
117,El Jadida,Morocco,33.2333,-8.5,0.4926,0.1568,0.3247,0.0772,MEDITERRANEAN_ALPINE,False
118,Nossa Senhora da Conceição,Mozambique,-23.8667,35.3833,0.4901,0.1402,0.3151,0.0687,EAST_AFRICAN_RIFT,False
119,Nossa Senhora da Conceição de Lourenço Marques,Mozambique,-25.9667,32.5833,0.4895,0.1442,0.3168,0.0706,EAST_AFRICAN_RIFT,False
120,Santo António,Mozambique,-12.3333,40.5833,0.4939,0.1276,0.3107,0.063,EAST_AFRICAN_RIFT,False
