ID,Name,Country,Latitude,Longitude,Region,red,green,blue,spaceResonance,angleOfIncidence,ionosphericHeight,solarDeclination,solarElevation,hourAngle,lagTimeHours,solarFluxFactor,solarCyclePhase
142,Fort Diamant,French Guiana,4.8833,-52.2667,Americas,0.4657,0.0043,0.3659,0.2222,51.458,84.5505,-10.511,38.8582,48.9833,15.0781,0.1845,0.5665
143,Fort Erie,Canada,42.9167,-79.0167,Americas,0.4556,0.4105,0.3049,0.2371,59.6743,83.6947,-10.511,32.8404,22.2333,17.864,0.1845,0.5665
144,Fort Frederick,USA,39.6167,-78.0,Americas,0.4599,0.3678,0.3106,0.2366,56.9009,83.7965,-10.511,35.4204,23.25,17.3475,0.1845,0.5665
145,Fort Gaines,USA,30.25,-88.0833,Americas,0.4798,0.2544,0.3149,0.2457,44.4674,83.9644,-10.511,47.3167,13.1667,15.2734,0.1845,0.5665
146,Fort Jackson,USA,29.35,-89.45,Americas,0.4818,0.2439,0.3145,0.2468,43.1867,83.9754,-10.511,48.5463,11.8,15.0627,0.1845,0.5665
147,Fort Macomb,USA,30.0667,-89.8,Americas,0.4808,0.2534,0.3133,0.2466,43.8221,83.9577,-10.511,47.9525,11.45,15.1792,0.1845,0.5665
148,Fort Macon,USA,34.7,-76.6833,Americas,0.4661,0.3031,0.3187,0.2363,52.8863,83.935,-10.511,39.1479,24.5667,16.5937,0.1845,0.5665
149,Fort Mifflin,USA,39.8667,-75.2167,Americas,0.4578,0.3688,0.3119,0.2344,58.1982,83.8086,-10.511,34.1358,26.0333,17.5316,0.1845,0.5665
150,Fort Morgan,USA,30.2333,-88.0167,Americas,0.4798,0.2542,0.315,0.2457,44.4697,83.9652,-10.511,47.3134,13.2333,15.273,0.1845,0.5665
151,Fort Pike,USA,30.1667,-89.7333,Americas,0.4806,0.2546,0.3133,0.2465,43.9403,83.956,-10.511,47.84,11.5167,15.1994,0.1845,0.5665
152,Fort Pulaski,USA,32.0333,-80.9,Americas,0.4729,0.2718,0.3193,0.2404,48.668,83.9706,-10.511,43.2145,20.35,15.9128,0.1845,0.5665
153,Fort San Carlos,USA,30.6667,-81.4667,Americas,0.4753,0.2546,0.3207,0.2413,47.1553,83.9978,-10.511,44.6486,19.7833,15.6503,0.1845,0.5665
154,Fort Sumter,USA,32.75,-79.8667,Americas,0.4712,0.2803,0.3192,0.2393,49.7547,83.9607,-10.511,42.1687,21.3833,16.0895,0.1845,0.5665
155,Citadelle de Besançon,France,47.2361,6.0269,Europe,0.3686,0.4188,0.3049,0.1702,90.0,84.25,-10.511,-19.402,107.2769,22.0994,0.1845,0.5665
156,La Citadelle dArras,France,50.2825,2.7589,Europe,0.3726,0.4568,0.2985,0.1764,90.0,84.1216,-10.511,-17.0023,104.0089,22.2348,0.1845,0.5665
157,La Citadelle de Blaye,France,45.1217,-0.6733,Europe,0.3761,0.3932,0.3045,0.1691,90.0,84.2581,-10.511,-14.8689,100.5767,22.0054,0.1845,0.5665
158,LEnceinte de Briançon,France,44.8958,6.6433,Europe,0.3675,0.3892,0.309,0.1662,90.0,84.3289,-10.511,-20.0449,107.8933,21.9954,0.1845,0.5665
159,La Place forte de Longwy,France,49.5167,5.7667,Europe,0.3692,0.447,0.3012,0.1742,90.0,84.1734,-10.511,-18.9994,107.0167,22.2007,0.1845,0.5665
160,La Place forte de Mont-Dauphin,France,44.6667,6.6167,Europe,0.3675,0.3862,0.3093,0.1658,90.0,84.3357,-10.511,-20.0464,107.8667,21.9852,0.1845,0.5665
161,Villefranche-de-Conflent,France,42.5833,2.3667,Europe,0.3724,0.3601,0.3103,0.1641,90.0,84.3614,-10.511,-17.09,103.6167,21.8926,0.1845,0.5665
162,Neuf-Brisach,France,48.0178,7.5281,Europe,0.367,0.4284,0.3044,0.1711,90.0,84.2379,-10.511,-20.3231,108.7781,22.1341,0.1845,0.5665
163,Citadelle de Lille,France,50.6333,3.0667,Europe,0.3723,0.461,0.2981,0.1769,90.0,84.1125,-10.511,-17.1723,104.3167,22.2504,0.1845,0.5665
164,Fort de l'Étoile,France,44.2,5.95,Europe,0.3682,0.3804,0.3097,0.1653,90.0,84.3442,-10.511,-19.6102,107.2,21.9644,0.1845,0.5665
165,Fort Barraux,France,45.4167,5.9667,Europe,0.3684,0.3959,0.3078,0.1673,90.0,84.3069,-10.511,-19.5244,107.2167,22.0185,0.1845,0.5665
166,Fort de Joux,France,46.8667,6.3667,Europe,0.3681,0.4141,0.3057,0.1695,90.0,84.2648,-10.511,-19.6683,107.6167,22.083,0.1845,0.5665
167,Fort de Douaumont,France,49.3167,5.4667,Europe,0.3695,0.4446,0.3014,0.1739,90.0,84.1774,-10.511,-18.826,106.7167,22.1919,0.1845,0.5665
168,Komárno Star Fort,Slovakia,47.7667,18.1167,Europe,0.3553,0.4248,0.3076,0.1675,90.0,84.3378,-10.511,-27.3329,119.3667,22.123,0.1845,0.5665
169,Festung Ehrenbreitstein,Germany,50.3667,7.6167,Europe,0.3674,0.4572,0.3006,0.1751,90.0,84.1611,-10.511,-20.0779,108.8667,22.2385,0.1845,0.5665
170,Festung Ulm,Germany,48.4,9.9833,Europe,0.3644,0.4329,0.3047,0.171,90.0,84.2468,-10.511,-21.8905,111.2333,22.1511,0.1845,0.5665
171,Festung Ingolstadt,Germany,48.7667,11.4333,Europe,0.3629,0.4373,0.3046,0.1712,90.0,84.2474,-10.511,-22.7746,112.6833,22.1674,0.1845,0.5665
172,Festung Germersheim,Germany,49.2167,8.3667,Europe,0.3664,0.4431,0.3028,0.1729,90.0,84.2059,-10.511,-20.7166,109.6167,22.1874,0.1845,0.5665
173,Festung Landau,Germany,49.2,8.1167,Europe,0.3666,0.4429,0.3027,0.1729,90.0,84.2043,-10.511,-20.5571,109.3667,22.1867,0.1845,0.5665
174,Festung Rastatt,Germany,48.85,8.2,Europe,0.3665,0.4386,0.3033,0.1723,90.0,84.2166,-10.511,-20.6587,109.45,22.1711,0.1845,0.5665
175,Zitadelle Spandau,Germany,52.5333,13.2,Europe,0.3624,0.4827,0.2988,0.1774,90.0,84.1357,-10.511,-23.1003,114.45,22.3348,0.1845,0.5665
176,Festung Küstrin,Poland,52.5833,14.65,Europe,0.361,0.4832,0.2991,0.1771,90.0,84.1465,-10.511,-23.9437,115.9,22.337,0.1845,0.5665
177,Festung Silberberg,Poland,50.5833,16.65,Europe,0.3581,0.4594,0.3027,0.1729,90.0,84.2322,-10.511,-25.6619,117.9,22.2481,0.1845,0.5665
178,Twierdza K?odzko,Poland,50.4333,16.65,Europe,0.3581,0.4576,0.303,0.1727,90.0,84.2372,-10.511,-25.7017,117.9,22.2415,0.1845,0.5665
179,Twierdza Nysa,Poland,50.4667,17.3333,Europe,0.3574,0.458,0.303,0.1725,90.0,84.242,-10.511,-26.1117,118.5833,22.243,0.1845,0.5665
180,Twierdza Modlin,Poland,52.45,20.6833,Europe,0.3551,0.4818,0.3,0.1753,90.0,84.2032,-10.511,-27.4891,121.9333,22.3311,0.1845,0.5665
181,Twierdza Przemy?l,Poland,49.7833,22.7667,Europe,0.3515,0.45,0.3044,0.1698,90.0,84.3116,-10.511,-29.6338,124.0167,22.2126,0.1845,0.5665
182,Twierdza Boyen,Poland,54.0333,21.7667,Europe,0.355,0.5002,0.2974,0.178,90.0,84.1571,-10.511,-27.5353,123.0167,22.4015,0.1845,0.5665
183,Twierdza Pozna?,Poland,52.4,16.9333,Europe,0.3587,0.481,0.2998,0.1762,90.0,84.1726,-10.511,-25.3321,118.1833,22.3289,0.1845,0.5665
184,Twierdza Zegrze,Poland,52.4667,21.0333,Europe,0.3548,0.482,0.3,0.1753,90.0,84.2056,-10.511,-27.6838,122.2833,22.3319,0.1845,0.5665
185,Akershus Fortress,Norway,59.9069,10.7364,Europe,0.3675,0.5642,0.286,0.1909,90.0,83.8471,-10.511,-20.0235,111.9864,22.6625,0.1845,0.5665
186,Bohus Fortress,Sweden,57.8667,11.9833,Europe,0.3657,0.5427,0.2897,0.1872,90.0,83.9341,-10.511,-21.1479,113.2333,22.5719,0.1845,0.5665
187,Varberg Fortress,Sweden,57.1,12.25,Europe,0.3651,0.5344,0.291,0.1858,90.0,83.9646,-10.511,-21.4767,113.5,22.5378,0.1845,0.5665
188,Karlskrona Naval Base,Sweden,56.1667,15.5833,Europe,0.3617,0.5241,0.2933,0.1833,90.0,84.0275,-10.511,-23.4934,116.8333,22.4963,0.1845,0.5665
189,Benten Daiba,Japan,35.6333,139.7667,Asia,0.3516,0.3387,0.3241,0.1559,90.0,85.0,-10.511,-29.5708,241.0167,21.5837,0.1845,0.5665
190,Cabo de Rama Fort,India,15.0833,74.05,Asia,0.2617,0.0564,0.3285,0.1053,90.0,85.0,-10.511,-83.5271,175.3,20.6704,0.1845,0.5665
191,Corjuem Fort,India,15.6667,73.9,Asia,0.2626,0.0611,0.3281,0.1057,90.0,85.0,-10.511,-83.0086,175.15,20.6963,0.1845,0.5665
192,Colombo Fort,Sri Lanka,6.9333,79.8333,Asia,0.2571,0.0098,0.3374,0.1035,90.0,85.0,-10.511,-86.2656,181.0833,20.3081,0.1845,0.5665
193,Karlsborg Fortress,Sweden,58.5167,14.5167,Europe,0.3638,0.5496,0.2892,0.1878,90.0,83.932,-10.511,-22.2585,115.7667,22.6007,0.1845,0.5665
194,Festung Wesel,Germany,51.6667,6.6167,Europe,0.3688,0.4729,0.2981,0.1776,90.0,84.1083,-10.511,-19.2805,107.8667,22.2963,0.1845,0.5665
195,Festung Minden,Germany,52.2833,8.9167,Europe,0.3666,0.48,0.298,0.1781,90.0,84.1071,-10.511,-20.5896,110.1667,22.3237,0.1845,0.5665
196,Festung Saarlouis,Germany,49.3167,6.75,Europe,0.3681,0.4445,0.3019,0.1735,90.0,84.1886,-10.511,-19.6575,108.0,22.1919,0.1845,0.5665
197,Zitadelle Jülich,Germany,50.9167,6.3667,Europe,0.3689,0.4639,0.2992,0.1764,90.0,84.1317,-10.511,-19.2206,107.6167,22.263,0.1845,0.5665
198,Twierdza Zamo??,Poland,50.7167,23.25,Europe,0.3516,0.4613,0.3029,0.1715,90.0,84.2844,-10.511,-29.591,124.5,22.2541,0.1845,0.5665
199,Twierdza Kamieniec Podolski,Ukraine,48.6833,26.5667,Europe,0.347,0.4369,0.3059,0.1668,90.0,84.3803,-10.511,-32.3457,127.8167,22.1637,0.1845,0.5665
200,Twierdza Chocim,Ukraine,48.5167,26.4833,Europe,0.347,0.4348,0.3062,0.1665,90.0,84.3851,-10.511,-32.3603,127.7333,22.1563,0.1845,0.5665
201,Twierdza Ostroh,Ukraine,50.3333,26.5167,Europe,0.3481,0.457,0.3032,0.1699,90.0,84.3251,-10.511,-31.655,127.7667,22.237,0.1845,0.5665
202,Twierdza Dubno,Ukraine,50.4,25.75,Europe,0.3489,0.4577,0.3032,0.1702,90.0,84.3164,-10.511,-31.1804,127.0,22.24,0.1845,0.5665
203,Fort Tiracol,India,15.9333,73.6667,Asia,0.2631,0.0633,0.3277,0.1059,90.0,85.0,-10.511,-82.6606,174.9167,20.7081,0.1845,0.5665
204,Fort Chapora,India,15.6,73.7333,Asia,0.2627,0.0605,0.3279,0.1057,90.0,85.0,-10.511,-82.9458,174.9833,20.6933,0.1845,0.5665
205,Fort Sinquerim,India,15.5,73.7667,Asia,0.2625,0.0597,0.328,0.1056,90.0,85.0,-10.511,-83.0395,175.0167,20.6889,0.1845,0.5665
206,Fort Gaspar Dias,India,15.5,73.8333,Asia,0.2624,0.0597,0.3281,0.1056,90.0,85.0,-10.511,-83.0846,175.0833,20.6889,0.1845,0.5665
207,Fort Mormugao,India,15.4,73.8,Asia,0.2623,0.0589,0.3281,0.1055,90.0,85.0,-10.511,-83.133,175.05,20.6844,0.1845,0.5665
208,Fort Anjediva,India,14.7667,74.1167,Asia,0.2612,0.0539,0.3287,0.1051,90.0,85.0,-10.511,-83.792,175.3667,20.6563,0.1845,0.5665
209,Fort Sadashivgad,India,14.8167,74.1333,Asia,0.2613,0.0543,0.3287,0.1051,90.0,85.0,-10.511,-83.7697,175.3833,20.6585,0.1845,0.5665
210,Fort Devagad,India,16.9833,73.3167,Asia,0.2648,0.0722,0.327,0.1067,90.0,85.0,-10.511,-81.6508,174.5667,20.7548,0.1845,0.5665
211,Fort Ratnagiri,India,16.9833,73.3,Asia,0.2648,0.0722,0.3269,0.1067,90.0,85.0,-10.511,-81.6406,174.55,20.7548,0.1845,0.5665
212,Fort Viziadurg,India,16.5667,73.5667,Asia,0.264,0.0687,0.3274,0.1064,90.0,85.0,-10.511,-82.1236,174.8167,20.7363,0.1845,0.5665
213,Fort Santo António de Zaire,Angola,-6.1167,12.3667,Africa,0.3645,0.0306,0.3679,0.1409,90.0,85.0,-10.511,-21.8522,113.6167,20.2719,0.1845,0.5665
214,Fortaleza de São Miguel de Ambriz,Angola,-7.85,13.1167,Africa,0.364,0.0422,0.367,0.1409,90.0,85.0,-10.511,-22.144,114.3667,20.3489,0.1845,0.5665
215,Fort Amherst,Canada,47.5667,-52.6833,Americas,0.4304,0.4486,0.3035,0.2131,75.0481,83.7431,-10.511,17.7202,48.5667,20.1205,0.1845,0.5665
