ID,Name,Country,Latitude,Longitude,Region,red,green,blue,spaceResonance,angleOfIncidence,ionosphericHeight,solarDeclination,solarElevation,hourAngle,lagTimeHours,solarFluxFactor,solarCyclePhase
36,Castillo de San Marcos,USA,29.8978,-81.3114,Americas,0.4763,0.2447,0.3219,0.2415,46.4963,84.0158,-10.511,45.2631,19.9386,15.5283,0.1845,0.5665
37,Fort Prince of Wales,Canada,58.7972,-94.2136,Americas,0.435,0.5979,0.2707,0.2401,73.0032,83.0625,-10.511,20.457,7.0364,20.347,0.1845,0.5665
38,Fort Denison,Australia,-33.8547,151.2258,Oceania,0.3871,0.2582,0.293,0.1574,90.0,85.0,-10.511,-8.2929,252.4758,21.5047,0.1845,0.5665
39,Fort Glanville,Australia,-34.8461,138.4847,Oceania,0.3716,0.2787,0.3035,0.1547,90.0,85.0,-10.511,-17.6053,239.7347,21.5487,0.1845,0.5665
40,Fort Jervois,New Zealand,-43.6036,172.7417,Oceania,0.4177,0.3755,0.2597,0.1882,82.322,85.0,-10.511,10.1004,273.9917,20.9142,0.1845,0.5665
41,Fort de Bregille,France,47.2333,6.0333,Europe,0.3686,0.4188,0.305,0.1702,90.0,84.2502,-10.511,-19.4066,107.2833,22.0993,0.1845,0.5665
42,Fort de Chaudanne,France,47.24,6.0167,Europe,0.3686,0.4189,0.3049,0.1703,90.0,84.2498,-10.511,-19.3947,107.2667,22.0996,0.1845,0.5665
43,Fort de La Hougue,France,49.5833,-1.2667,Europe,0.3768,0.449,0.2973,0.1764,90.0,84.1098,-10.511,-14.442,99.9833,22.2037,0.1845,0.5665
44,Citadelle d'Entrevaux,France,44.0,6.8167,Europe,0.3672,0.3777,0.3105,0.1647,90.0,84.3578,-10.511,-20.2467,108.0667,21.9556,0.1845,0.5665
45,Fort de Sainte-Adresse,France,49.5,0.0833,Europe,0.3754,0.4477,0.2982,0.1759,90.0,84.1243,-10.511,-15.3195,101.3333,22.2,0.1845,0.5665
46,Fort de Tourneville,France,49.5,0.1167,Europe,0.3753,0.4477,0.2982,0.1759,90.0,84.1246,-10.511,-15.3412,101.3667,22.2,0.1845,0.5665
47,Fort de la Pree,France,46.2,-1.3667,Europe,0.3769,0.4071,0.3024,0.171,90.0,84.2184,-10.511,-14.3872,99.8833,22.0533,0.1845,0.5665
48,Fort des Salettes,France,44.8833,6.65,Europe,0.3675,0.389,0.309,0.1662,90.0,84.3294,-10.511,-20.0507,107.9,21.9948,0.1845,0.5665
49,The Fortifications of Toulon,France,43.1167,5.9333,Europe,0.3681,0.3664,0.3114,0.1636,90.0,84.3767,-10.511,-19.6771,107.1833,21.9163,0.1845,0.5665
50,Fort Vallières,France,51.0333,2.3833,Europe,0.373,0.4659,0.2971,0.1778,90.0,84.093,-10.511,-16.713,103.6333,22.2681,0.1845,0.5665
51,Citadelle Vauban,France,47.35,-3.15,Europe,0.3789,0.4219,0.2994,0.1734,90.0,84.1663,-10.511,-13.1814,98.1,22.1044,0.1845,0.5665
52,Kastellet,Denmark,55.6911,12.5953,Europe,0.3642,0.5189,0.2935,0.1832,90.0,84.0188,-10.511,-22.0075,113.8453,22.4752,0.1845,0.5665
53,Fredericia Ramparts,Denmark,55.5667,9.75,Europe,0.3668,0.5177,0.2929,0.1836,90.0,83.9986,-10.511,-20.4689,111.0,22.4696,0.1845,0.5665
54,Nyborg Fortress,Denmark,55.3167,10.7833,Europe,0.3657,0.5148,0.2936,0.1829,90.0,84.0166,-10.511,-21.094,112.0333,22.4585,0.1845,0.5665
55,Fredrikstad Fortress,Norway,59.2167,10.95,Europe,0.3671,0.5571,0.2872,0.1897,90.0,83.8749,-10.511,-20.295,112.2,22.6319,0.1845,0.5665
56,Fredriksvern,Norway,59.0,10.0333,Europe,0.3678,0.5548,0.2873,0.1895,90.0,83.875,-10.511,-19.8878,111.2833,22.6222,0.1845,0.5665
57,Kongsvinger Fortress,Norway,60.2,12.0,Europe,0.3666,0.5671,0.2858,0.1912,90.0,83.847,-10.511,-20.5599,113.25,22.6756,0.1845,0.5665
58,Kristiansten Fortress,Norway,63.4333,10.4167,Europe,0.3692,0.5989,0.2801,0.1969,90.0,83.7089,-10.511,-18.9968,111.6667,22.8193,0.1845,0.5665
