ID,Name,Latitude,Longitude,Country,City
149,Pennsylvania,39.8667,-75.2167,,
150,Gulf Shores,30.2333,-88.0167,USA,
151,Georgia,32.0333,-80.9,,
152,Fernandina Beach,30.6667,-81.4667,USA,
153,Charleston,32.75,-79.8667,,
154,Zitadelle,50.9833,11.0333,Germany,
155,Mainz Citadel,50.0,8.2667,Germany,
156,Ehrenbreitstein,50.3667,7.6167,Germany,
157,Koblenz,50.35,7.6,Germany,
158,Festung Ulm,48.4,9.9833,Germany,
159,Ingolstadt,48.7667,11.4333,Germany,
160,Festung,49.2167,8.3667,Germany,
161,Festung LandauLandau,49.2,8.1167,Germany,
162,Festung Rastatt Rastatt FortressGermany Baden-Württemberg Rastatt,48.85,8.2,Germany,
163,Spandau,52.5333,13.2,Germany,
164,Poland,52.5833,14.65,Poland,
165,Srebrna G,50.5833,16.65,Poland,
166,Fortress,50.4333,16.65,Poland,
167,Twierdza Nysa Nysa Fortress,50.4667,17.3333,Poland,
168,Twierdza ModlinModlin Fortress Poland,52.45,20.6833,Poland,
169,Subcarpathian,49.7833,22.7667,Poland,
170,Twierdza BoyenBoyen Fortress Poland,54.0333,21.7667,Poland,
171,Greater Poland,52.4,16.9333,Poland,
172,Zegrze,52.4667,21.0333,Poland,
173,Norway,59.2167,10.95,Norway,
174,Vestfold,59.0,10.0333,,
175,Innlandet,60.2,12.0,,
176,Trondheim,63.4333,10.4167,,
177,Finnmark,70.3667,31.0833,,
178,Festning,59.9069,10.7364,Norway,
179,Bohus Fortress Bohus fästning Sweden,57.8667,11.9833,Sweden,
180,Halland,57.1,12.25,,
181,Blekinge,56.1667,15.5833,,
182,Daiba,35.6333,139.7667,Japan,
183,Goa,15.0833,74.05,,
184,Corjuem,15.6667,73.9,,
185,Sri LankaWestern,6.9333,79.8333,Sri Lanka,
186,Karlsborg,58.5167,14.5167,Sweden,
187,Latvia,57.05,24.0333,Latvia,
188,Dinaburg,55.8833,26.5,Latvia,
189,Germany,51.6667,6.6167,Germany,
190,Minden,52.2833,8.9167,Germany,
191,Saarland,49.3167,6.75,,
192,North Rhine-,50.9167,6.3667,,
193,Lublin,50.7167,23.25,,
194,Kamieniec,48.6833,26.566,Ukraine,
195,Ukraine,48.5167,26.483,Ukraine,
196,Ostroh,50.3333,26.516,Ukraine,
197,Rivne,50.4,25.75,,
198,Tiracol Fort,15.9333,73.6667,India,
199,Fort Chapora Chapora Fort India,15.6,73.7333,India,
200,Candolim,15.5,73.7667,India,
201,Dias,15.5,73.8333,India,
202,Vasco da,15.4,73.8,,
203,Island Fort,14.7667,74.1167,India,
204,Sadashivgad Sadashivgad India,14.8167,74.1333,India,
205,Fort Devagad Devagad Fort India,16.9833,73.3167,India,
206,Fort Ratnagiri Bhagwati FortIndia,16.9833,73.3,India,
207,Maharashtra Viziadurg,16.5667,73.5667,,
208,Soyo,-6.1167,12.3667,,
209,Ambriz,-7.85,13.1167,,
210,Canada Newfoundland St. John's,47.5667,-52.6833,Canada,
211,Comté,43.493611,-1.4675,France,
212,Aquitaine,45.933333,-0.983333,France,
213,Perpignan,42.55,2.116667,France,
214,Louis,42.45,2.466667,France,
215,Mollo,43.116667,5.933333,France,
216,France,14.616667,-61.05,France,
217,Terre,4.916667,-52.283333,France,
218,Montjoly,43.283333,5.316667,France,
219,Republic,44.916667,8.616667,Italy,
220,Belvedere,43.766667,11.25,Italy,
221,Filippo,45.483333,12.25,Italy,
222,Imperiale,43.466667,11.033333,Italy,
223,Castellana,43.933333,10.916667,Italy,
224,Sant'Elmo,40.833333,14.25,Italy,
225,Orbetello,42.766667,11.116667,Italy,
226,Livorno,43.316667,11.316667,Italy,
227,Civitavecchia,42.933333,10.533333,Italy,
228,Gaeta,41.216667,13.566667,Italy,
229,Verona,45.433333,10.983333,Italy,
230,Montjuïc,41.36,2.16,Spain,
231,Coru,42.27,2.96,Spain,
232,Castelo,51.75,5.13,Netherlands,
233,Brabant,52.66,6.74,Netherlands,
234,Flanders,51.22,3.25,France,
235,Namur,50.46,4.86,Netherlands,
236,Dinant,50.26,4.91,Netherlands,
